family,epsilon,n,Hn_second,increment_second,Hn_second_over_n,conditional_fisher,prediction_vertical,spectral_increment,coherence_increment
near_symmetric_m2_least,0.2,12,-6.055100909166455e-06,-7.372876029407555e-07,-5.04591742430538e-07,-9.582166912972736e-34,-7.372876029407555e-07,-2.2729727239669423e-05,2.199243963672867e-05
near_symmetric_m2_least,0.2,13,-6.819798490450267e-06,-7.646975812838119e-07,-5.245998838807898e-07,-9.619475396674763e-34,-7.646975812838119e-07,-2.622675451862186e-05,2.5462056937338048e-05
near_symmetric_m2_least,0.2,14,-7.589596277717779e-06,-7.697977872675122e-07,-5.421140198369843e-07,-9.644017766526835e-34,-7.697977872675122e-07,-2.7798016860896326e-05,2.7028219073628815e-05
near_symmetric_m2_least,0.2,15,-8.360937366644734e-06,-7.713410889269558e-07,-5.573958244429823e-07,-9.694000592292915e-34,-7.713410889269558e-07,-2.9345342583919848e-05,2.8574001494992892e-05
near_symmetric_m2_least,0.2,16,-9.138727823415922e-06,-7.77790456771188e-07,-5.711704889634951e-07,-9.699887522806594e-34,-7.77790456771188e-07,-3.170241371275556e-05,3.092462325598437e-05
near_symmetric_m2_least,0.2,17,-9.916981483766967e-06,-7.782536603510449e-07,-5.833518519862922e-07,-9.793870366937206e-34,-7.782536603510449e-07,-3.2271885765489605e-05,3.149363210513856e-05
near_symmetric_m2_least,0.2,18,-1.070142727315613e-05,-7.844457893891629e-07,-5.945237373975628e-07,-9.862707213121573e-34,-7.844457893891629e-07,-3.468693036617199e-05,3.390248457678282e-05
near_symmetric_m2_least,0.2,19,-1.150397965461602e-05,-8.0255238145989e-07,-6.054726134008431e-07,-9.887947752419563e-34,-8.0255238145989e-07,-3.8930032104388384e-05,3.812747972292849e-05
near_symmetric_m2_least,0.2,20,-1.2308859882468338e-05,-8.048802278523185e-07,-6.154429941234169e-07,-9.911990308655733e-34,-8.048802278523185e-07,-4.0338519009255446e-05,3.953363878140313e-05
near_symmetric_m2_least,0.2,21,-1.3114468012403197e-05,-8.056081299348596e-07,-6.244984767811047e-07,-9.921617992043435e-34,-8.056081299348596e-07,-4.162255469536668e-05,4.081694656543182e-05
near_symmetric_m2_least,0.2,22,-1.3921330787554387e-05,-8.068627751511905e-07,-6.32787763070654e-07,-9.928105807789111e-34,-8.068627751511905e-07,-4.367799514807196e-05,4.287113237292077e-05
near_symmetric_m2_least,0.2,23,-1.4728399309257355e-05,-8.070685217029681e-07,-6.403651873590154e-07,-9.952943405866913e-34,-8.070685217029681e-07,-4.437504584617661e-05,4.356797732447364e-05
near_symmetric_m2_least,0.2,24,-1.5539169090492142e-05,-8.107697812347855e-07,-6.474653787705059e-07,-9.964268383386585e-34,-8.107697812347855e-07,-4.710886169327416e-05,4.629809191203937e-05
near_symmetric_m2_least,0.2,25,-1.6359978769328004e-05,-8.208096788358606e-07,-6.543991507731201e-07,-9.983932407160443e-34,-8.208096788358606e-07,-5.1024887184637595e-05,5.020407750580173e-05
near_symmetric_m2_least,0.2,26,-1.7181619844592104e-05,-8.21641075264101e-07,-6.608315324843116e-07,-1.0061907539051553e-33,-8.21641075264101e-07,-5.2032044858490545e-05,5.1210403783226445e-05
near_symmetric_m3_selected,0.01,2,-1.5103787564440067e-08,-1.5103787564440067e-08,-7.551893782220034e-09,-3.5862813730985045e-34,-1.5103787564440067e-08,-2.3587033482853804e-07,2.2076654726409797e-07
